Time (EET),Open,High,Low,Close,Volume 
2024.12.12 17:00:00,101776.3,101946.9,100795.4,101889.8,0.02944
2024.12.12 18:00:00,101890.4,102604.8,101556.8,101556.8,0.03278
2024.12.12 19:00:00,101557.3,101792.3,101306.2,101688.2,0.02906
2024.12.12 20:00:00,101682.4,101744.9,100900.9,100932.7,0.02814
2024.12.12 21:00:00,100915.8,101111.4,99343.5,99546.1,0.03356
2024.12.12 22:00:00,99532.3,100430.3,99515.2,100019.8,0.02738
2024.12.12 23:00:00,100019,100168.9,99771.3,99829.9,0.02321
2024.12.13 00:00:00,99831.4,100533.1,99589.8,100511,0.02405
2024.12.13 01:00:00,100511.6,100532.2,99947.3,100075.3,0.02171
2024.12.13 02:00:00,100074.8,100403.1,100002.2,100151.2,0.02026
2024.12.13 03:00:00,100153.9,100202.5,99284.1,99411.3,0.02377
2024.12.13 04:00:00,99413.5,99710.3,99281.8,99534,0.02407
2024.12.13 05:00:00,99530.7,99836,99529.2,99784.2,0.02135
2024.12.13 06:00:00,99783.2,100100.8,99707.3,100050.6,0.0178
2024.12.13 07:00:00,100053,100215.6,99921.8,99952.1,0.01535
2024.12.13 08:00:00,99953.6,100150,99768.8,99789.9,0.01377
2024.12.13 09:00:00,99773.3,100286.7,99552.3,100209.9,0.01975
2024.12.13 10:00:00,100209.6,100405.2,99963.3,100316.8,0.01422
2024.12.13 11:00:00,100301.4,100371.3,99962.9,100145.3,0.01226
2024.12.13 12:00:00,100146.4,100593.9,99974.8,100511.9,0.01401
2024.12.13 13:00:00,100512.2,100798.7,100361.5,100392.8,0.01558
2024.12.13 14:00:00,100393.6,100501.6,100183.3,100333.5,0.01682
2024.12.13 15:00:00,100331.9,100543.3,99978.1,100323.9,0.01976
2024.12.13 16:00:00,100322.2,101067.9,100263.3,101067.9,0.025
2024.12.13 17:00:00,101054,101419.1,99812.7,99930.5,0.02707
2024.12.13 18:00:00,99923.5,101294,99863.6,101040.8,0.02824
2024.12.13 19:00:00,101040.4,101836,100851.2,101784.3,0.02478
2024.12.13 20:00:00,101784.4,101961.1,101357,101561.9,0.02389
2024.12.13 21:00:00,101560.5,101674,101262.7,101531.7,0.01994
2024.12.13 22:00:00,101534.5,101942.5,101304.7,101747.9,0.01875
2024.12.13 23:00:00,101797.9,101804.9,101353.5,101409.4,0.00698
2024.12.14 00:00:00,101404.4,101489.3,101178.2,101320.5,0.00582
2024.12.14 01:00:00,101302.6,101584.7,101196.4,101493.9,0.007
2024.12.14 02:00:00,101488.4,101603.2,101209.6,101361.5,0.01019
2024.12.14 03:00:00,101365.1,102715.1,101365.1,102210.2,0.02517
2024.12.14 04:00:00,102209.3,102351.7,101737.8,102110.6,0.01553
2024.12.14 05:00:00,102117.8,102434.1,102091.1,102153.4,0.00731
2024.12.14 06:00:00,102165.1,102217.7,101665.8,101754,0.01204
2024.12.14 07:00:00,101752.8,101909.3,101703.5,101797.4,0.00856
2024.12.14 08:00:00,101797.4,102065.1,101757.6,101965.6,0.00575
2024.12.14 09:00:00,101972.7,101996.6,101698.8,101897.6,0.00551
2024.12.14 10:00:00,101897.6,101942.5,101661.5,101864.2,0.00499
2024.12.14 11:00:00,101864.1,101867.1,101546,101610.3,0.00696
